project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
testfx,https://github.com/microsoft/testfx,5254,c92ee47c31dd165a880fd6653b3dcf1ab9ab9a29,human,cs,72360,1457,2.01
testfx,https://github.com/microsoft/testfx,5297,367b49b574f45264db0de8ce1e7d796cdcc6bff5,human,cs,72837,1457,2.0
testfx,https://github.com/microsoft/testfx,5417,9d17b890351347a01e4ee759d3512c861b3eee8c,human,cs,72852,1457,2.0
testfx,https://github.com/microsoft/testfx,5439,3f73a5a779849d8ddc2c68ac51f9a4e16dd9c4e5,human,cs,72852,1457,2.0
testfx,https://github.com/microsoft/testfx,5488,4f25a55adc4b7afbdfc9cb3500a881c0496c613f,human,cs,72579,1441,1.99
testfx,https://github.com/microsoft/testfx,5600,0945cd3e072fc95e6c006940a73c452efabfd072,agent,cs,72897,1441,1.98
testfx,https://github.com/microsoft/testfx,5601,7592ae68a99bf75fb360fe85ec8f6f6dc46ca88c,agent,cs,72897,1441,1.98
testfx,https://github.com/microsoft/testfx,5613,415a392f8cfa02b47bd84ea59f0994f25587db54,agent,cs,72898,1441,1.98
testfx,https://github.com/microsoft/testfx,5650,88156928adc9643811ef674eceab7e54743acbcb,agent,cs,72849,1441,1.98
testfx,https://github.com/microsoft/testfx,5666,d248f6083b938c452909fd2b42bc8cf1338a67fc,agent,cs,72731,1441,1.98
testfx,https://github.com/microsoft/testfx,5691,c781667b352086a69bf897242691a6ca41e10958,agent,cs,72861,1397,1.92
testfx,https://github.com/microsoft/testfx,5705,e69cb8ccb40b3d21f9ca4992cc3caed9ff4e64db,agent,cs,72878,1397,1.92
testfx,https://github.com/microsoft/testfx,5706,e9089baa4218915428762ec5c5a31d6fa4c95e48,agent,cs,72916,1397,1.92
testfx,https://github.com/microsoft/testfx,5708,80222db2306f052c753e6c1628e982dfe84cf883,agent,cs,72878,1397,1.92
testfx,https://github.com/microsoft/testfx,5763,a05d55bee6ecedffa39b8819936dcc0b148f18c0,human,cs,72936,1397,1.92
testfx,https://github.com/microsoft/testfx,5765,d7cfc92107781b9db51149c44b1de0e4820f05ea,agent,cs,73045,1397,1.91
testfx,https://github.com/microsoft/testfx,5767,2a0db56fd4765637ad948c9efce19ba0215f6396,agent,cs,72983,1397,1.91
testfx,https://github.com/microsoft/testfx,5773,69373b9ff2765e1114baa9c042dc19fdb8ff4b75,human,cs,72983,1397,1.91
testfx,https://github.com/microsoft/testfx,5786,5a185c79028e481a4e77a7a875de3c9fd2399026,agent,cs,74057,1397,1.89
testfx,https://github.com/microsoft/testfx,5790,79dd288f5846455fb0d6fd256b02c5b1ff5c58e8,agent,cs,73820,1397,1.89
testfx,https://github.com/microsoft/testfx,5792,1c71d5be7151420a459a7eb647f066760799e474,agent,cs,74788,1397,1.87
testfx,https://github.com/microsoft/testfx,5793,27ae00d0d00b7947220d0b5ed508675efc86b338,agent,cs,74203,1397,1.88
testfx,https://github.com/microsoft/testfx,5795,91085545986b33a579e703c7b849e0e58781739a,agent,cs,74905,1397,1.87
testfx,https://github.com/microsoft/testfx,5797,092e8f3e942fbd6e6f8a5e5e052da2039f14ab38,agent,cs,74954,1397,1.86
testfx,https://github.com/microsoft/testfx,5804,65efccd9d08ef94976f4f3bc6bac3687ac68220c,agent,cs,73181,1397,1.91
testfx,https://github.com/microsoft/testfx,5815,84b07005f0678a83584b16e14a26d3725efe9092,agent,cs,75328,1397,1.85
testfx,https://github.com/microsoft/testfx,5818,22faec79e85486716695f3bc16bdcf101c0a7c96,agent,cs,74960,1397,1.86
testfx,https://github.com/microsoft/testfx,5819,fadea40ee19f93553bb890f5c7adbaf699c4580e,agent,cs,74833,1397,1.87
